gene_id	gene_name	CD4	CD8
ENSG00000243485	MIR1302-2HG	0	0
ENSG00000237613	FAM138A	0	0
ENSG00000186092	OR4F5	0	0
ENSG00000238009	AL627309.1	18	24
ENSG00000239945	AL627309.3	1	0
ENSG00000239906	AL627309.2	0	0
ENSG00000241599	AL627309.4	0	0
ENSG00000236601	AL732372.1	0	0
ENSG00000284733	OR4F29	0	0
ENSG00000235146	AC114498.1	0	0
ENSG00000284662	OR4F16	0	0
ENSG00000229905	AL669831.2	0	1
ENSG00000237491	AL669831.5	358	639
ENSG00000177757	FAM87B	1	4
ENSG00000225880	LINC00115	193	244
ENSG00000230368	FAM41C	208	291
ENSG00000272438	AL645608.7	0	0
ENSG00000230699	AL645608.3	4	2
ENSG00000241180	AL645608.5	0	0
ENSG00000223764	AL645608.1	0	0
ENSG00000187634	SAMD11	0	0
ENSG00000188976	NOC2L	1669	2681
ENSG00000187961	KLHL17	129	267
ENSG00000187583	PLEKHN1	65	56
ENSG00000187642	PERM1	0	3
ENSG00000272512	AL645608.8	3	7
ENSG00000188290	HES4	162	214
ENSG00000187608	ISG15	2787	6857
ENSG00000224969	AL645608.2	2	6
ENSG00000188157	AGRN	39	58
ENSG00000273443	AL645608.9	0	0
ENSG00000237330	RNF223	0	0
ENSG00000131591	C1orf159	159	323
ENSG00000223823	LINC01342	0	1
ENSG00000272141	AL390719.2	0	0
ENSG00000205231	TTLL10-AS1	0	0
ENSG00000162571	TTLL10	27	5
ENSG00000186891	TNFRSF18	921	396
ENSG00000186827	TNFRSF4	1454	179
ENSG00000078808	SDF4	2320	4069
ENSG00000176022	B3GALT6	522	976
ENSG00000184163	C1QTNF12	42	63
ENSG00000260179	AL162741.1	39	46
ENSG00000160087	UBE2J2	1663	2858
ENSG00000230415	LINC01786	13	9
ENSG00000162572	SCNN1D	49	45
ENSG00000131584	ACAP3	653	1015
ENSG00000169972	PUSL1	309	605
ENSG00000127054	INTS11	1526	2559
ENSG00000224051	CPTP	478	605
ENSG00000169962	TAS1R3	27	23
ENSG00000107404	DVL1	403	529
ENSG00000162576	MXRA8	33	2
ENSG00000175756	AURKAIP1	3695	6777
ENSG00000221978	CCNL2	1684	2684
ENSG00000242485	MRPL20	3291	5169
ENSG00000272455	AL391244.3	44	70
ENSG00000235098	ANKRD65	2	0
ENSG00000225905	AL391244.2	0	0
ENSG00000205116	TMEM88B	0	0
ENSG00000225285	LINC01770	0	0
ENSG00000179403	VWA1	0	1
ENSG00000215915	ATAD3C	85	90
ENSG00000160072	ATAD3B	444	607
ENSG00000197785	ATAD3A	296	656
ENSG00000205090	TMEM240	37	28
